"Id","Label","clade","size","BGCtype","complete","MAGhit","MAG","GCFnum"
"MO_004.c_886.region001","MO_004_c886_001","site1","1","NRPS-like","NO","YES","MO_004.bin.14",1431
"MO_004.c_938.region001","MO_004_c938_001","site1","1","hglE-KS","NO","YES","MO_004.bin.7",1819
"MO_004.c_968.region001","MO_004_c968_001","site1","1","T3PKS","NO","YES","MO_004.bin.1",750
"MO_005.c_1009.region001","MO_005_c1009_001","site1","1","terpene","NO","YES","MO_005.bin.4",763
"MO_005.c_1130.region001","MO_005_c1130_001","site1","1","NRPS-like","NO","YES","MO_005.bin.3",766
"MO_005.c_1182.region001","MO_005_c1182_001","site1","1","bacteriocin","NO","YES","MO_005.bin.5",1478
"MO_005.c_1202.region001","MO_005_c1202_001","site1","1","T1PKS","NO","NO","NA.",1056
"MO_005.c_13.region001","MO_005_c13_001","site1","1","hserlactone","YES","YES","MO_005.bin.9",245
"MO_005.c_1415.region001","MO_005_c1415_001","site1","1","T1PKS","NO","YES","MO_005.bin.16",1656
"MO_005.c_15.region001","NA.","NA.","NA.","NRPS-like","YES","YES","MO_005.bin.18",79
"MO_005.c_1522.region001","MO_005_c1522_001","site1","1","terpene","NO","YES","MO_005.bin.5",1478
"MO_005.c_1543.region001","MO_005_c1543_001","site1","1","betalactone","NO","YES","MO_005.bin.19",2997
"MO_005.c_156.region001","MO_005_c156_001","site1","1","T3PKS","NO","YES","MO_005.bin.16",687
"MO_005.c_16.region001","MO_005_c16_001","site1","1","bacteriocin","YES","YES","MO_005.bin.18",2046
"MO_005.c_1600.region001","MO_005_c1600_001","site1","1","NRPS-like","NO","YES","MO_005.bin.15",1431
"MO_005.c_1641.region001","MO_005_c1641_001","site1","1","T1PKS","NO","YES","MO_005.bin.14",1421
"MO_005.c_1646.region001","MO_005_c1646_001","site1","1","terpene","NO","YES","MO_005.bin.14",1452
"MO_005.c_1719.region001","NA.","NA.","NA.","NRPS","NO","NO","NA.",87
"MO_005.c_173.region001","MO_005_c173_001","site1","1","T1PKS","NO","YES","MO_005.bin.15",1521
"MO_005.c_1733.region001","MO_005_c1733_001","site1","1","terpene","NO","YES","MO_005.bin.16",89
"MO_005.c_1745.region001","MO_005_c1745_001","site1","1","bacteriocin","NO","YES","MO_005.bin.8",223
"MO_005.c_1858.region001","MO_005_c1858_001","site1","1","hglE-KS","NO","YES","MO_005.bin.14",2873
"MO_005.c_1871.region001","MO_005_c1871_001","site1","1","T1PKS","NO","YES","MO_005.bin.5",287
"MO_005.c_1886.region001","MO_005_c1886_001","site1","1","terpene","NO","YES","MO_005.bin.16",1502
"MO_005.c_20.region001","MO_005_c20_001","site1","1","terpene","YES","YES","MO_005.bin.18",2020
"MO_005.c_2013.region001","MO_005_c2013_001","site1","1","terpene","NO","YES","MO_005.bin.4",452
"MO_005.c_2019.region001","MO_005_c2019_001","site1","1","acyl_amino_acids","NO","YES","MO_005.bin.13",734
"MO_005.c_2097.region001","NA.","NA.","NA.","bacteriocin","NO","NO","NA.",97
"MO_005.c_21.region001","MO_005_c21_001","site1","1","hserlactone","YES","YES","MO_005.bin.9",1275
"MO_005.c_210.region001","MO_005_c210_001","site1","1","arylpolyene","NO","YES","MO_005.bin.16",1062
"MO_005.c_2127.region001","MO_005_c2127_001","site1","1","hglE-KS","NO","YES","MO_005.bin.13",1448
"MO_005.c_2130.region001","MO_005_c2130_001","site1","1","arylpolyene","NO","YES","MO_005.bin.3",1393
"MO_005.c_219.region001","MO_005_c219_001","site1","1","bacteriocin","NO","YES","MO_005.bin.14",2942
"MO_005.c_2266.region001","MO_005_c2266_001","site1","1","TfuA-related","NO","YES","MO_005.bin.4",2421
"MO_005.c_2500.region001","MO_005_c2500_001","site1","1","lassopeptide","NO","YES","MO_005.bin.7",2301
"MO_005.c_259.region001","MO_005_c259_001","site1","1","terpene","NO","YES","MO_005.bin.16",1506
"MO_005.c_2596.region001","MO_005_c2596_001","site1","1","terpene","NO","YES","MO_005.bin.6",910
"MO_005.c_27.region001","MO_005_c27_001","site1","1","hserlactone","YES","YES","MO_005.bin.9",107
"MO_005.c_2770.region001","MO_005_c2770_001","site1","1","T1PKS","NO","NO","NA.",2697
"MO_005.c_33.region001","MO_005_c33_001","site1","1","terpene","YES","YES","MO_005.bin.11",2786
"MO_005.c_3383.region001","MO_005_c3383_001","site1","1","arylpolyene","NO","YES","MO_005.bin.6",2686
"MO_005.c_3432.region001","MO_005_c3432_001","site1","1","T1PKS","NO","YES","MO_005.bin.15",1065
"MO_005.c_3604.region001","NA.","NA.","NA.","bacteriocin","NO","NO","NA.",112
"MO_005.c_3639.region001","MO_005_c3639_001","site1","1","ladderane","NO","YES","MO_005.bin.16",795
"MO_005.c_3651.region001","MO_005_c3651_001","site1","1","terpene","NO","YES","MO_005.bin.10",1775
"MO_005.c_3714.region001","MO_005_c3714_001","site1","1","terpene","NO","YES","MO_005.bin.3",1447
"MO_005.c_3877.region001","MO_005_c3877_001","site1","1","hglE-KS","NO","YES","MO_005.bin.5",1330
"MO_005.c_4079.region001","MO_005_c4079_001","site1","1","terpene","NO","YES","MO_005.bin.16",1092
"MO_005.c_4156.region001","MO_005_c4156_001","site1","1","T1PKS","NO","YES","MO_005.bin.15",1491
"MO_005.c_4274.region001","NA.","NA.","NA.","bacteriocin","NO","YES","MO_005.bin.8",119
"MO_005.c_4312.region001","MO_005_c4312_001","site1","1","resorcinol","NO","YES","MO_005.bin.4",891
"MO_005.c_4323.region001","MO_005_c4323_001","site1","1","TfuA-related","NO","YES","MO_005.bin.4",765
"MO_005.c_4325.region001","MO_005_c4325_001","site1","1","terpene","NO","YES","MO_005.bin.8",1246
"MO_005.c_49.region001","MO_005_c49_001","site1","1","phosphonate","NO","YES","MO_005.bin.11",123
"MO_005.c_5.region001","NA.","NA.","NA.","hserlactone","YES","YES","MO_005.bin.12",124
"MO_005.c_54.region001","NA.","NA.","NA.","lassopeptide","YES","YES","MO_005.bin.12",125
"MO_005.c_543.region001","MO_005_c543_001","site1","1","bacteriocin","NO","YES","MO_005.bin.14",63
"MO_005.c_586.region001","MO_005_c586_001","site1","1","T1PKS","NO","YES","MO_005.bin.5",1416
"MO_005.c_627.region001","MO_005_c627_001","site1","1","terpene","NO","YES","MO_005.bin.9",1246
"MO_005.c_63.region001","MO_005_c63_001","site1","1","bacteriocin","YES","YES","MO_005.bin.9",637
"MO_005.c_654.region001","MO_005_c654_001","site1","1","arylpolyene","NO","YES","MO_005.bin.16",634
"MO_005.c_676.region001","MO_005_c676_001","site1","1","betalactone","NO","YES","MO_005.bin.5",1076
"MO_005.c_693.region001","MO_005_c693_001","site1","1","bacteriocin","YES","YES","MO_005.bin.11",446
"MO_005.c_7.region001","NA.","NA.","NA.","hserlactone","YES","YES","MO_005.bin.9",133
"MO_005.c_750.region001","MO_005_c750_001","site1","1","hglE-KS","NO","YES","MO_005.bin.5",1976
"MO_005.c_835.region001","MO_005_c835_001","site1","1","hglE-KS","NO","YES","MO_005.bin.14",902
"MO_005.c_859.region001","MO_005_c859_001","site1","1","T3PKS","NO","YES","MO_005.bin.16",750
"MO_005.c_91.region001","MO_005_c91_001","site1","1","NRPS","NO","YES","MO_005.bin.6",1526
"MO_005.c_946.region001","MO_005_c946_001","site1","1","terpene","NO","YES","MO_005.bin.2",386
"MO_005.c_949.region001","NA.","NA.","NA.","hserlactone","NO","YES","MO_005.bin.12",139
"MO_005.c_982.region001","MO_005_c982_001","site1","1","NRPS-like","NO","YES","MO_005.bin.4",766
"MO_007.c_10116.region001","MO_007_c10116_001","site1","1","NRPS","NO","NO","NA.",799
"MO_007.c_10267.region001","NA.","NA.","NA.","betalactone","NO","YES","MO_007.bin.5",142
"MO_007.c_10865.region001","MO_007_c10865_001","site1","1","T3PKS","NO","YES","MO_007.bin.7",2833
"MO_007.c_10882.region001","MO_007_c10882_001","site1","1","bacteriocin","NO","YES","MO_007.bin.3",1332
"MO_007.c_11983.region001","MO_007_c11983_001","site1","1","TfuA-related","NO","YES","MO_007.bin.5",690
"MO_007.c_12208.region001","MO_007_c12208_001","site1","1","NRPS-like","NO","NO","NA.",766
"MO_007.c_13143.region001","NA.","NA.","NA.","bacteriocin","NO","YES","MO_007.bin.5",147
"MO_007.c_16435.region001","MO_007_c16435_001","site1","1","terpene","NO","YES","MO_007.bin.7",1477
"MO_007.c_17928.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_007.bin.4",149
"MO_007.c_18119.region001","MO_007_c18119_001","site1","1","TfuA-related","NO","YES","MO_007.bin.7",868
"MO_007.c_189.region001","MO_007_c189_001","site1","1","terpene","YES","YES","MO_007.bin.10",2786
"MO_007.c_19034.region001","MO_007_c19034_001","site1","1","terpene","NO","NO","NA.",763
"MO_007.c_19376.region001","MO_007_c19376_001","site1","1","terpene","NO","YES","MO_007.bin.5",386
"MO_007.c_301.region001","MO_007_c301_001","site1","1","bacteriocin","YES","YES","MO_007.bin.10",446
"MO_007.c_3948.region001","MO_007_c3948_001","site1","1","TfuA-related","NO","YES","MO_007.bin.7",765
"MO_007.c_5612.region001","MO_007_c5612_001","site1","1","hglE-KS","NO","YES","MO_007.bin.14",1976
"MO_007.c_6856.region001","MO_007_c6856_001","site1","1","NAGGN","NO","YES","MO_007.bin.3",1469
"MO_007.c_6986.region001","MO_007_c6986_001","site1","1","NRPS-like","NO","YES","MO_007.bin.5",2535
"MO_007.c_7412.region001","MO_007_c7412_001","site1","1","lassopeptide","NO","NO","NA.",1979
"MO_007.c_7654.region001","MO_007_c7654_001","site1","1","phosphonate","NO","YES","MO_007.bin.10",123
"MO_007.c_9226.region001","MO_007_c9226_001","site1","1","bacteriocin","NO","YES","MO_007.bin.3",1466
"MO_007.c_9238.region001","MO_007_c9238_001","site1","1","NRPS-like","NO","YES","MO_007.bin.3",1451
"MO_007.c_9392.region001","MO_007_c9392_001","site1","1","arylpolyene","NO","NO","NA.",1393
"MO_007.c_9410.region001","MO_007_c9410_001","site1","1","NRPS","NO","YES","MO_007.bin.5",1885
"MO_007.c_9719.region001","MO_007_c9719_001","site1","1","resorcinol","NO","YES","MO_007.bin.7",891
"MO_010.c_10612.region001","MO_010_c10612_001","site1","1","terpene","NO","YES","MO_010.bin.5",763
"MO_010.c_10635.region001","MO_010_c10635_001","site1","1","T3PKS","NO","NO","NA.",29
"MO_010.c_10747.region001","MO_010_c10747_001","site1","1","T1PKS","NO","YES","MO_010.bin.1",1043
"MO_010.c_1115.region001","NA.","NA.","NA.","terpene","NO","YES","MO_010.bin.4",169
"MO_010.c_11812.region001","MO_010_c11812_001","site1","1","indole","NO","NO","NA.",170
"MO_010.c_11854.region001","MO_010_c11854_001","site1","1","NRPS-like","NO","YES","MO_010.bin.6",766
"MO_010.c_13063.region001","MO_010_c13063_001","site1","1","hglE-KS","NO","YES","MO_010.bin.1",797
"MO_010.c_13494.region001","MO_010_c13494_001","site1","1","NRPS","NO","NO","NA.",3080
"MO_010.c_13544.region001","MO_010_c13544_001","site1","1","terpene","NO","YES","MO_010.bin.8",1523
"MO_010.c_15468.region001","MO_010_c15468_001","site1","1","arylpolyene","NO","YES","MO_010.bin.5",1393
"MO_010.c_16464.region001","MO_010_c16464_001","site1","1","hglE-KS","NO","YES","MO_010.bin.1",1389
"MO_010.c_16511.region001","MO_010_c16511_001","site1","1","NRPS","NO","NO","NA.",1885
"MO_010.c_16695.region001","MO_010_c16695_001","site1","1","terpene","NO","NO","NA.",178
"MO_010.c_17535.region001","NA.","NA.","NA.","NRPS","NO","NO","NA.",179
"MO_010.c_17793.region001","MO_010_c17793_001","site1","1","lanthipeptide","NO","NO","NA.",180
"MO_010.c_2635.region001","MO_010_c2635_001","site1","1","terpene","YES","YES","MO_010.bin.3",2786
"MO_010.c_2833.region001","MO_010_c2833_001","site1","1","terpene","NO","YES","MO_010.bin.2",286
"MO_010.c_3754.region001","MO_010_c3754_001","site1","1","terpene","NO","YES","MO_010.bin.6",452
"MO_010.c_5521.region001","MO_010_c5521_001","site1","1","terpene","NO","YES","MO_010.bin.5",1447
"MO_010.c_6334.region001","MO_010_c6334_001","site1","1","TfuA-related","NO","YES","MO_010.bin.6",765
"MO_010.c_6432.region001","MO_010_c6432_001","site1","1","TfuA-related","NO","YES","MO_010.bin.6",868
"MO_010.c_7161.region001","MO_010_c7161_001","site1","1","phosphonate","NO","YES","MO_010.bin.3",191
"MO_010.c_745.region001","MO_010_c745_001","site1","1","bacteriocin","NO","YES","MO_010.bin.3",188
"MO_010.c_9684.region001","MO_010_c9684_001","site1","1","NRPS","NO","NO","NA.",1885
"MO_034.c_1100.region001","NA.","NA.","NA.","other","NO","YES","MO_034.bin.4",190
"MO_034.c_1114.region001","MO_034_c1114_001","site2","1","phosphonate","NO","YES","MO_034.bin.9",191
"MO_034.c_1376.region001","MO_034_c1376_001","site2","1","hglE-KS","NO","YES","MO_034.bin.6",2644
"MO_034.c_1407.region001","MO_034_c1407_001","site2","1","terpene","NO","YES","MO_034.bin.12",452
"MO_034.c_1414.region001","MO_034_c1414_001","site2","1","T1PKS","NO","YES","MO_034.bin.5",2992
"MO_034.c_143.region001","MO_034_c143_001","site2","1","bacteriocin","NO","NO","NA.",221
"MO_034.c_1500.region001","MO_034_c1500_001","site2","1","terpene","NO","YES","MO_034.bin.9",2786
"MO_034.c_1517.region001","MO_034_c1517_001","site2","1","bacteriocin","YES","YES","MO_034.bin.9",446
"MO_034.c_1792.region001","MO_034_c1792_001","site2","1","T1PKS","NO","NO","NA.",975
"MO_034.c_1878.region001","MO_034_c1878_001","site2","1","T1PKS","NO","YES","MO_034.bin.5",982
"MO_034.c_1890.region001","MO_034_c1890_001","site2","1","NRPS","NO","YES","MO_034.bin.10",644
"MO_034.c_221.region001","MO_034_c221_001","site2","1","TfuA-related","NO","YES","MO_034.bin.12",868
"MO_034.c_309.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_034.bin.4",202
"MO_034.c_382.region001","MO_034_c382_001","site2","1","hserlactone","NO","YES","MO_034.bin.8",2265
"MO_034.c_400.region001","MO_034_c400_001","site2","1","terpene","NO","YES","MO_034.bin.11",3021
"MO_034.c_585.region001","MO_034_c585_001","site2","1","T3PKS","NO","YES","MO_034.bin.5",2292
"MO_034.c_755.region001","MO_034_c755_001","site2","1","T1PKS","NO","YES","MO_034.bin.5",2697
"MO_034.c_956.region001","MO_034_c956_001","site2","1","NRPS-like","NO","YES","MO_034.bin.8",2875
"MO_035.c_0.region001","MO_035_c0_001","site2","1","terpene","YES","YES","MO_035.bin.22",632
"MO_035.c_1064.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_035.bin.6",209
"MO_035.c_1101.region001","MO_035_c1101_001","site2","1","phosphonate","NO","YES","MO_035.bin.16",2678
"MO_035.c_1106.region001","MO_035_c1106_001","site2","1","T1PKS","NO","YES","MO_035.bin.13",2644
"MO_035.c_111.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_035.bin.25",212
"MO_035.c_1138.region001","NA.","NA.","NA.","terpene","NO","YES","MO_035.bin.26",213
"MO_035.c_117.region001","NA.","NA.","NA.","bacteriocin","YES","YES","MO_035.bin.22",214
"MO_035.c_118.region001","MO_035_c118_001","site2","1","terpene","YES","YES","MO_035.bin.25",215
"MO_035.c_1225.region001","MO_035_c1225_001","site2","1","bacteriocin","NO","YES","MO_035.bin.9",223
"MO_035.c_1231.region001","NA.","NA.","NA.","T1PKS","NO","YES","MO_035.bin.2",217
"MO_035.c_1294.region001","MO_035_c1294_001","site2","1","NRPS-like","NO","YES","MO_035.bin.26",274
"MO_035.c_1325.region001","MO_035_c1325_001","site2","1","hglE-KS","NO","YES","MO_035.bin.1",2930
"MO_035.c_1359.region001","MO_035_c1359_001","site2","1","T1PKS","NO","YES","MO_035.bin.3",814
"MO_035.c_1468.region001","MO_035_c1468_001","site2","1","bacteriocin","NO","YES","MO_035.bin.26",221
"MO_035.c_1520.region001","MO_035_c1520_001","site2","1","NRPS-like","NO","YES","MO_035.bin.19",514
"MO_035.c_1521.region001","MO_035_c1521_001","site2","1","bacteriocin","NO","YES","MO_035.bin.3",223
"MO_035.c_1583.region001","MO_035_c1583_001","site2","1","NAGGN","NO","YES","MO_035.bin.26",23
"MO_035.c_1703.region001","MO_035_c1703_001","site2","1","terpene","NO","YES","MO_035.bin.26",736
"MO_035.c_1704.region001","MO_035_c1704_001","site2","1","hserlactone","NO","YES","MO_035.bin.2",245
"MO_035.c_1881.region001","MO_035_c1881_001","site2","1","T1PKS","NO","NO","NA.",1969
"MO_035.c_1897.region001","MO_035_c1897_001","site2","1","NRPS-like","NO","YES","MO_035.bin.10",774
"MO_035.c_1947.region001","NA.","NA.","NA.","bacteriocin","NO","YES","MO_035.bin.10",229
"MO_035.c_1995.region001","NA.","NA.","NA.","terpene","NO","YES","MO_035.bin.26",230
"MO_035.c_2.region001","MO_035_c2_001","site2","1","NRPS-like","YES","YES","MO_035.bin.25",698
"MO_035.c_2.region002","MO_035_c2_002","site2","1","bacteriocin","YES","YES","MO_035.bin.25",637
"MO_035.c_202.region001","MO_035_c202_001","site2","1","terpene","NO","YES","MO_035.bin.17",233
"MO_035.c_2120.region001","MO_035_c2120_001","site2","1","terpene","NO","YES","MO_035.bin.26",234
"MO_035.c_2136.region001","MO_035_c2136_001","site2","1","bacteriocin","NO","YES","MO_035.bin.26",2650
"MO_035.c_2307.region001","MO_035_c2307_001","site2","1","NRPS","NO","YES","MO_035.bin.11",2939
"MO_035.c_2605.region001","MO_035_c2605_001","site2","1","NRPS-like","NO","NO","NA.",519
"MO_035.c_2630.region001","MO_035_c2630_001","site2","1","NRPS-like","NO","YES","MO_035.bin.3",2875
"MO_035.c_2715.region001","MO_035_c2715_001","site2","1","NRPS","NO","NO","NA.",2669
"MO_035.c_277.region001","MO_035_c277_001","site2","1","T3PKS","NO","YES","MO_035.bin.16",240
"MO_035.c_299.region001","MO_035_c299_001","site2","1","hserlactone","YES","YES","MO_035.bin.25",245
"MO_035.c_3000.region001","NA.","NA.","NA.","terpene","NO","YES","MO_035.bin.12",242
"MO_035.c_3110.region001","MO_035_c3110_001","site2","1","T1PKS","NO","NO","NA.",3133
"MO_035.c_3274.region001","MO_035_c3274_001","site2","1","terpene","NO","YES","MO_035.bin.14",2925
"MO_035.c_3310.region001","MO_035_c3310_001","site2","1","hserlactone","NO","YES","MO_035.bin.31",245
"MO_035.c_3311.region001","MO_035_c3311_001","site2","1","bacteriocin","NO","YES","MO_035.bin.19",311
"MO_035.c_3363.region001","MO_035_c3363_001","site2","1","bacteriocin","NO","YES","MO_035.bin.8",247
"MO_035.c_339.region001","NA.","NA.","NA.","arylpolyene","NO","YES","MO_035.bin.4",248
"MO_035.c_3433.region001","MO_035_c3433_001","site2","1","terpene","NO","YES","MO_035.bin.8",526
"MO_035.c_3735.region001","MO_035_c3735_001","site2","1","terpene","NO","YES","MO_035.bin.3",2015
"MO_035.c_3739.region001","MO_035_c3739_001","site2","1","terpene","NO","YES","MO_035.bin.26",234
"MO_035.c_3911.region001","MO_035_c3911_001","site2","1","terpene","NO","YES","MO_035.bin.26",736
"MO_035.c_3931.region001","MO_035_c3931_001","site2","1","NRPS","NO","YES","MO_035.bin.23",2669
"MO_035.c_4011.region001","MO_035_c4011_001","site2","1","NRPS","NO","YES","MO_035.bin.1",399
"MO_035.c_4068.region001","NA.","NA.","NA.","ectoine","NO","YES","MO_035.bin.17",255
"MO_035.c_4139.region001","MO_035_c4139_001","site2","1","NRPS","NO","YES","MO_035.bin.10",794
"MO_035.c_427.region001","MO_035_c427_001","site2","1","bacteriocin","NO","YES","MO_035.bin.2",2163
"MO_035.c_428.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_035.bin.17",258
"MO_035.c_438.region001","MO_035_c438_001","site2","1","terpene","YES","YES","MO_035.bin.25",1246
"MO_035.c_439.region001","NA.","NA.","NA.","transAT-PKS","YES","YES","MO_035.bin.22",260
"MO_035.c_453.region001","MO_035_c453_001","site2","1","hglE-KS","NO","YES","MO_035.bin.11",2644
"MO_035.c_485.region001","MO_035_c485_001","site2","1","hserlactone","YES","YES","MO_035.bin.25",107
"MO_035.c_486.region001","NA.","NA.","NA.","terpene","YES","YES","MO_035.bin.4",263
"MO_035.c_50.region001","MO_035_c50_001","site2","1","terpene","YES","YES","MO_035.bin.16",264
"MO_035.c_540.region001","NA.","NA.","NA.","bacteriocin","NO","YES","MO_035.bin.26",265
